POS;MONTH;DATE;POS_CAT;POS_CHANNEL;POS_GROUP;LAST_TR_DATE;POS_STATUS;CASH_IN_OUT_STATUS;SITE;LOCALITE;MILIEU;ZONE;DACR;BALANCE;LONGITUDE;LATITUDE;LOCALISATION;SECTEUR;LAST_VISITE_DATE;VISITE;COMMISSIONS_AMNT;IMPACT_VISITE;COMMISSION_PERF;COMMISSION_PERF_2
ZpaTdZob;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-05-20;Inactif âgé;Inactif âgé;AGADEZ MOOV OLD VILLE;AGADEZ;Urbain;Sud;Agadez;62.6;7.988167;16.971167;Système;Agadez 5;1970-01-01;Jamais;0;Jamais visité;Non;Zero
zZN4kHvg;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;ZINDER CEG 8;ZINDER;Urbain;Centre;Zinder;67.0;8.99136833333333;13.823691666666699;Visites;Zinder 1;2020-08-24;Oui;1;A maintenu son statut;Non;Low
rPzNnWeM;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-11;Actif;Actif;ARLIT-SOMAIR;ARLIT;Urbain;Nord;Agadez;5.5;7.38837333333333;18.7361816666667;Visites;Arlit 1;2020-07-29;Non;2;Non visité;Non;Low
v5rKg1Rr;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-15;Inactif récent;Inactif récent;SAGUIA _EATON;NIAMEY;Urbain;Haro Banda;Niamey;36.16;2.1014;13.4621;Système;Haro Banda 3;1970-01-01;Jamais;0;Jamais visité;Non;Zero
V29ix0os;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-06;Inactif récent;Inactif récent;FRANCOPHONIE AIRTEL;NIAMEY;Urbain;Nord;Niamey;91.0;2.10245333333333;13.567558333333302;Visites;Nord 2;2020-08-17;Oui;0;N'a pas réagi;Non;Zero
R6cpKFWG;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;ECOLE CHEIK HAMDAN;TAHOUA;Urbain;Centre;Tahoua;127.0;5.287222;14.886167000000002;Système;Tahoua 3;1970-01-01;Jamais;7202;Jamais visité;Oui;Medium
No4EzTUt;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-24;Inactif récent;Inactif récent;FRANCOPHONIE AIRTEL;NIAMEY;Urbain;Nord;Niamey;395.41;2.10263666666667;13.567531666666698;Visites;Nord 2;2020-08-17;Oui;0;N'a pas réagi;Non;Zero
SNzlO6U5;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-30;Futur inactif;Futur inactif;FRANCOPHONIE AIRTEL;NIAMEY;Urbain;Nord;Niamey;18.0;2.10272333333333;13.566823333333302;Visites;Nord 2;2020-07-29;Non;0;Non visité;Non;Zero
pZl7xAYg;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-05-16;Inactif âgé;Inactif âgé;GRAND MARCHE;NIAMEY;Urbain;Grand Marché;Niamey;166.0;2.1184048;13.516863;Système;Grand Marché 4;1970-01-01;Jamais;0;Jamais visité;Non;Zero
TW0wB0na;2020-08-01;2020-08-24;Orange Shop;ONE;Orange;2020-08-20;Actif;Actif;-;-;-;-;-;1644596.0;1.834338;16.332586;Système;-;1970-01-01;Jamais;0;Jamais visité;Non;Zero
3heZwHEU;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-22;Actif;Actif;ALI DAN SOFO AIRTEL;MARADI;Urbain;Sud;Maradi;2210.0;7.11719167;13.472999999999999;Système;Maradi 1;1970-01-01;Jamais;32355;Jamais visité;Oui;High
nHoCCug1;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-05;Actif;Actif;AGADEZ SABON GARI;AGADEZ;Urbain;Sud;Agadez;26.0;8.00761166666667;16.985048333333303;Visites;Agadez 2;2020-07-23;Non;1;Non visité;Non;Low
epE6W04D;2020-08-01;2020-08-24;Half Wholesaler;Indirect;PDV;2020-08-10;Actif;Actif;LIBORE;LIBORE;Rural;Haro Banda;Niamey;100.0;2.19252666666667;13.4020133333333;Visites;Haro Banda 1;2020-08-10;Oui;40;Nouveau PDV visité;Non;Low
e2LjNj4N;2020-08-01;2020-08-24;Head Merchant;Others;PDV;2020-07-01;Inactif récent;Inactif âgé;AMBASSADE LYBIE;NIAMEY;Urbain;Petit Marché;Niamey;0.0;2.0799302;13.52637744;Système;Petit Marché 1;1970-01-01;Jamais;0;Jamais visité;Non;Zero
B9KJ3kI4;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;ECOLE ASKIA;NIAMEY;Urbain;Grand Marché;Niamey;29.9;2.11610974;13.53299047;Système;Grand Marché 3;1970-01-01;Jamais;21;Jamais visité;Non;Low
rs4RJ6dR;2020-08-01;2020-08-24;Orange Shop Agent;ONE;Orange;2020-07-28;Futur inactif;Futur inactif;MARADI 600;MARADI;Urbain;Sud;Maradi;0.0;7.11403355;13.48222818;Système;Maradi 1;1970-01-01;Jamais;0;Jamais visité;Non;Zero
7LgPE2mw;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-23;Inactif récent;Inactif récent;ECOLE MADINA3;NIAMEY;Urbain;Grand Marché;Niamey;25.0;2.14357652;13.532064300000002;Système;Grand Marché 2;1970-01-01;Jamais;0;Jamais visité;Non;Zero
oFu6PaKj;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-06-12;Inactif récent;Inactif récent;DOGONDOUTCHI;DOGONDOUTCHI;Urbain;Est;Dosso;51.86;4.03864412;13.63977557;Système;Doutchi 1;1970-01-01;Jamais;0;Jamais visité;Non;Zero
jsObEAVM;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-21;Actif;Actif;TILLABERI;TILLABERI;Urbain;Ouest;Tillaberi;18.25;1.458815;14.213091666666699;Visites;Tillabéri;2020-08-21;Oui;13;A maintenu son statut;Non;Low
AGMQ0Q0L;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-05-29;Inactif récent;Inactif récent;MAYAHI;MAYAHI;Urbain;Est;Maradi;17.12;7.67415244;13.948727300000002;Système;Mayahi;1970-01-01;Jamais;0;Jamais visité;Non;Zero
SgOzxIAZ;2020-08-01;2020-08-24;Orange Shop Agent;ONE;Orange;2020-05-29;Inactif récent;Inactif récent;MARADI_MOOV;MARADI;Urbain;Sud;Maradi;0.0;7.10569444;13.48608333;Système;Maradi 2;1970-01-01;Jamais;0;Jamais visité;Non;Zero
KtTk9HA2;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-22;Inactif récent;Inactif récent;DEUXIEME ARRONDISSEMENT;NIAMEY;Urbain;Grand Marché;Niamey;193.0;2.12161864;13.51494516;Système;Grand Marché 5;1970-01-01;Jamais;0;Jamais visité;Non;Zero
1VTLi4IP;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-15;Actif;Actif;FILINGUE;FILINGUE;Urbain;Est;Tillaberi;1070.6;3.32540327;14.35567066;Système;Filingué;1970-01-01;Jamais;15;Jamais visité;Non;Low
sEVNjikc;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-06-26;Inactif récent;Inactif récent;MARADI_CHÂTEAU_JANGORZO;MARADI;Urbain;Sud;Maradi;13.8;7.1128;13.4944;Système;Maradi 1;1970-01-01;Jamais;0;Jamais visité;Non;Zero
gxGpd6yw;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-22;Inactif récent;Inactif récent;CITE CAISSE;NIAMEY;Urbain;Nord;Niamey;1690.0;2.1284216666666698;13.546551666666698;Visites;Nord 4;2020-07-15;Non;0;Non visité;Non;Zero
a5aj32Rk;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-22;Actif;Actif;CITE CAISSE;NIAMEY;Urbain;Nord;Niamey;1808.7;2.1263549999999998;13.540701666666699;Visites;Nord 4;2020-08-19;Oui;4524;A maintenu son statut;Oui;Medium
IRUofi8L;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-06-04;Inactif récent;Inactif récent;ZINDER_AUTOGARE;ZINDER;Urbain;Centre;Zinder;29.0;8.9871;13.8064;Système;Zinder 1;1970-01-01;Jamais;0;Jamais visité;Non;Zero
2U5KnPU1;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-23;Actif;Actif;LOSSA GOUNGOU;NIAMEY;Urbain;Petit Marché;Niamey;4220.25;2.04268998;13.53605656;Système;Petit Marché 1;1970-01-01;Jamais;2126;Jamais visité;Oui;Medium
vVZpIqyw;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-21;Actif;Actif;DIFFA VILLE;DIFFA;Urbain;Est;Diffa;13239.79;12.615328333333302;13.312486666666699;Visites;Diffa 2;2020-08-19;Oui;30;A maintenu son statut;Non;Low
RtdfBnRJ;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;BANQUE ATLANTIQUE;NIAMEY;Urbain;Grand Marché;Niamey;2022573.54;2.11384546;13.51893671;Visites;Grand Marché 4;2020-08-17;Oui;1151477;A maintenu son statut;Oui;Super High
Tnivo4Ju;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-21;Actif;Actif;MARADI 601;MARADI;Urbain;Sud;Maradi;38.13;7.1081302;13.49763452;Système;Maradi 2;1970-01-01;Jamais;31754;Jamais visité;Oui;High
NmeQtEgm;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;BANQUE ATLANTIQUE;NIAMEY;Urbain;Grand Marché;Niamey;4103410.87;2.11420618;13.51862853;Visites;Grand Marché 4;2020-08-12;Oui;724153;A maintenu son statut;Oui;Super High
umdDghCy;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-02;Inactif récent;Inactif récent;ECOLE ASKIA;NIAMEY;Urbain;Grand Marché;Niamey;150.0;2.11610974;13.53299047;Système;Grand Marché 3;1970-01-01;Jamais;0;Jamais visité;Non;Zero
s9jJBZBp;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-05-05;Inactif âgé;Inactif âgé;FILINGUE;FILINGUE;Urbain;Est;Tillaberi;31.47;3.32540327;14.35567066;Système;Filingué;1970-01-01;Jamais;0;Jamais visité;Non;Zero
fmdBTOcd;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-22;Actif;Actif;TESSAOUA_2;TESSAOUA;Urbain;Est;Maradi;16.91;7.99066667;13.7543333;Système;Tessaoua;1970-01-01;Jamais;101;Jamais visité;Non;Low
wh8j2NZu;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-03-05;Inactif âgé;Inactif âgé;RIMBO COURANT NORD;NIAMEY;Urbain;Grand Marché;Niamey;84.0;2.13108312;13.53459803;Système;Grand Marché 1;1970-01-01;Jamais;0;Jamais visité;Non;Zero
F4nd2z92;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-07-30;Futur inactif;Futur inactif;AEROPORT QUARTIER;NIAMEY;Urbain;Wadata;Niamey;52.5;2.17863833333333;13.470263333333302;Visites;Wadata 5;2020-07-23;Non;0;Non visité;Non;Zero
swGu1QIr;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-23;Actif;Actif;FRANCOPHONIE AIRTEL;NIAMEY;Urbain;Nord;Niamey;5093.5;2.1021389999999998;13.56775;Système;Nord 2;1970-01-01;Jamais;1516;Jamais visité;Oui;Medium
l9NMXyI8;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-09;Actif;Actif;ORTN_AIRTEL;NIAMEY;Urbain;Petit Marché;Niamey;7.6;2.09805556;13.53805556;Système;Petit Marché 3;1970-01-01;Jamais;177;Jamais visité;Non;Low
B7gdmug0;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-24;Actif;Actif;ECOLE PRIMAIRE SONUCI;NIAMEY;Urbain;Petit Marché;Niamey;117530.18;2.06430333333333;13.5586;Visites;Petit Marché 2;2020-08-18;Oui;175229;A maintenu son statut;Oui;Super High
lCnC36Xl;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-20;Actif;Actif;BOUBON;BOUBON;Rural;Petit Marché;Niamey;709.5;1.92621795;13.60903193;Système;Petit Marché 1;1970-01-01;Jamais;3885;Jamais visité;Oui;Medium
KU2D14KQ;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-06-30;Inactif récent;Inactif récent;BOBIEL;NIAMEY;Urbain;Nord;Niamey;50.0;2.094625;13.555943333333301;Visites;Nord 3;2020-07-16;Non;0;Non visité;Non;Zero
MzTAclHv;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-17;Actif;Actif;TERRAIN MUSULMAN;NIAMEY;Urbain;Grand Marché;Niamey;50.75;2.12637323;13.51524733;Visites;Grand Marché 5;2020-08-11;Oui;51;A maintenu son statut;Non;Low
kOuJZQFN;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-06-16;Inactif récent;Inactif récent;MARADI 601;MARADI;Urbain;Sud;Maradi;3230.34;7.1081302;13.49763452;Système;Maradi 2;1970-01-01;Jamais;0;Jamais visité;Non;Zero
MKpffdTu;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-12;Actif;Actif;MARADI ZARIA RELIEF;MARADI;Urbain;Sud;Maradi;253.98;7.11844316666667;13.511619566666699;Visites;Maradi 4;2020-08-12;Oui;28;A maintenu son statut;Non;Low
4CztbLyc;2020-08-01;2020-08-24;Retailer;Indirect;PDV;2020-08-01;Futur inactif;Futur inactif;FRANCOPHONIE AIRTEL;NIAMEY;Urbain;Nord;Niamey;85.1;2.1023566666666698;13.567548333333301;Visites;Nord 2;2020-08-17;Oui;11;N'a pas réagi;Non;Low
