"POS";"MONTH";"DATE";"POS_CAT";"POS_CHANNEL";"POS_GROUP";"LAST_TR_DATE";"POS_STATUS";"INACTIVITY_DAYS";"LAST_CI_DATE";"LAST_CO_DATE";"CASH_IN_OUT_STATUS";"CASH_IN_CNT";"CASH_IN_AMNT";"CASH_OUT_CNT";"CASH_OUT_AMNT";"BALANCE";"LAST_VISITE_DATE";"LONGITUDE";"LATITUDE";"SITE";"LOCALISATION";"LOCALITE";"MILIEU";"SECTEUR";"ZONE";"DACR";"VISITE";"COMMISSIONS_AMNT";"IMPACT_VISITE";"COMMISSION_PERF"
"dmkzjmEa";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-08;"Futur inactif";23;2020-07-08;2020-07-08;"Futur inactif";0;0;0;0;22237.16;1970-01-01;3.19625;13.050104;"DOSSO_SAMARIA_OUDOUN_KOUKOU";"Système";"DOSSO";"Urbain";"Dosso 2";"Centre";"Dosso";"Jamais";735;"Jamais visité";"Non"
"dmkzjmEa";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-07-08;"Inactif récent";47;2020-07-08;2020-07-08;"Inactif récent";0;0;0;0;22237.16;1970-01-01;3.19625;13.050104;"DOSSO_SAMARIA_OUDOUN_KOUKOU";"Système";"DOSSO";"Urbain";"Dosso 2";"Centre";"Dosso";"Jamais";0;"Jamais visité";"Non"
"pODW6Jue";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-29;"Actif";2;2020-07-29;2020-07-22;"Actif";0;0;0;0;259.5;1970-01-01;2.10862655;13.53996193;"DAR SALAM ONI";"Système";"NIAMEY";"Urbain";"Petit Marché 3";"Petit Marché";"Niamey";"Jamais";384;"Jamais visité";"Non"
"pODW6Jue";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-08-18;"Actif";6;2020-08-18;2020-07-22;"Actif";0;0;0;0;789.5;1970-01-01;2.15314872;13.49838125;"MATERNITE TALLADJE";"Système";"NIAMEY";"Urbain";"Wadata 3";"Wadata";"Niamey";"Jamais";130;"Jamais visité";"Non"
"UVlAGfBr";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-29;"Actif";2;2020-07-29;2020-07-23;"Actif";0;0;0;0;22.18;1970-01-01;2.148638889;13.51266667;"FAMEY";"Système";"NIAMEY";"Urbain";"Wadata 4";"Wadata";"Niamey";"Jamais";407;"Jamais visité";"Non"
"UVlAGfBr";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-08-18;"Actif";6;2020-08-18;2020-07-23;"Actif";0;0;0;0;400.18;1970-01-01;2.17075;13.512277;"BASSORA MOOV";"Système";"NIAMEY";"Urbain";"Wadata 1";"Wadata";"Niamey";"Jamais";78;"Jamais visité";"Non"
"2OCf6F3Y";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-05-07;"Inactif récent";85;2020-05-07;1970-01-01;"Inactif récent";0;0;0;0;89;1970-01-01;2.14357652;13.5320643;"ECOLE MADINA3";"Système";"NIAMEY";"Urbain";"Grand Marché 2";"Grand Marché";"Niamey";"Jamais";0;"Jamais visité";"Non"
"2OCf6F3Y";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-05-07;"Inactif âgé";109;2020-05-07;1970-01-01;"Inactif âgé";0;0;0;0;89;1970-01-01;2.14357652;13.5320643;"ECOLE MADINA3";"Système";"NIAMEY";"Urbain";"Grand Marché 2";"Grand Marché";"Niamey";"Jamais";0;"Jamais visité";"Non"
"eUHeY3iQ";2020-07-01;2020-07-31;"Retailer";"Indirect";"PDV";2020-07-30;"Actif";1;2020-07-30;2020-07-24;"Actif";0;0;0;0;41.04;1970-01-01;5.25162801;13.78918567;"KONNI 710";"Système";"KONNI";"Urbain";"Konni";"Sud";"Tahoua";"Jamais";2564;"Jamais visité";"Oui"
"eUHeY3iQ";2020-08-01;2020-08-24;"Retailer";"Indirect";"PDV";2020-08-21;"Actif";3;2020-08-21;2020-08-19;"Actif";0;0;0;0;2.04;1970-01-01;5.25162801;13.78918567;"KONNI 710";"Système";"KONNI";"Urbain";"Konni";"Sud";"Tahoua";"Jamais";1312;"Jamais visité";"Oui"
